time(UTC);RH
20140113:0600;95,8
20140113:0700;95,8
20140113:0800;95,8
20140113:0900;92,4
20140113:1000;92,4
20140113:1100;79,85
20140113:1200;68,9
20140113:1300;61,55
20140113:1400;51
20140113:1500;47,2
20140113:1600;47,05
20140113:1700;50,6
20140113:1800;58,65
20140113:1900;68,3
20140113:2000;73,65
20140113:2100;76,4
20140113:2200;79,3
20140113:2300;85,5
20140114:0000;88,8
20140114:0100;92,2
20140114:0200;88,85
20140114:0300;88,85
20140114:0400;92,25
20140114:0500;92,25
20140114:0600;92,25
20140114:0700;92,25
20140114:0800;92,3
20140114:0900;92,3
20140114:1000;89
20140114:1100;85,8
20140114:1200;85,85
20140114:1300;85,9
20140114:1400;79,9
20140114:1500;79,95
20140114:1600;79,95
20140114:1700;85,95
20140114:1800;89,1
20140114:1900;89,15
20140114:2000;89,15
20140114:2100;89,15
20140114:2200;89,1
20140114:2300;92,4
20140115:0000;92,35
20140115:0100;95,75
20140115:0200;95,75
20140115:0300;99,4
20140115:0400;99,4
20140115:0500;99,4
20140115:0600;99,4
20140115:0700;95,7
20140115:0800;95,7
20140115:0900;95,75
20140115:1000;95,75
20140115:1100;95,8
20140115:1200;92,4
20140115:1300;89,1
20140115:1400;85,95
20140115:1500;85,95
20140115:1600;82,9
20140115:1700;85,95
20140115:1800;89,1
20140115:1900;89,1
20140115:2000;89,1
20140115:2100;92,4
20140115:2200;89,05
20140115:2300;89,1
20140116:0000;89,1
20140116:0100;92,4
20140116:0200;92,4
20140116:0300;92,4
20140116:0400;95,85
20140116:0500;95,85
20140116:0600;95,85
20140116:0700;95,85
20140116:0800;95,8
20140116:0900;95,8
20140116:1000;92,4
20140116:1100;89,1
20140116:1200;82,85
20140116:1300;71,5
20140116:1400;63,9
20140116:1500;63,9
20140116:1600;63,8
20140116:1700;68,7
20140116:1800;71,15
20140116:1900;79,5
20140116:2000;82,5
20140116:2100;85,6
20140116:2200;88,85
20140116:2300;88,85
20140117:0000;92,2
20140117:0100;92,2
20140117:0200;92,15
20140117:0300;92,15
20140117:0400;95,7
20140117:0500;92,15
20140117:0600;92,15
20140117:0700;88,75
20140117:0800;88,75
20140117:0900;85,5
20140117:1000;82,4
20140117:1100;70,95
20140117:1200;68,5
20140117:1300;71,15
20140117:1400;71,25
20140117:1500;71,25
20140117:1600;73,95
20140117:1700;79,55
20140117:1800;85,7
20140117:1900;85,75
20140117:2000;88,95
20140117:2100;88,95
20140117:2200;88,95
20140117:2300;85,7
20140118:0000;88,9
20140118:0100;85,65
20140118:0200;85,65
20140118:0300;85,65
20140118:0400;88,9
20140118:0500;88,9
20140118:0600;92,25
20140118:0700;88,9
20140118:0800;95,75
20140118:0900;92,3
20140118:1000;92,3
20140118:1100;89
20140118:1200;89
20140118:1300;89
20140118:1400;85,8
20140118:1500;85,75
20140118:1600;82,6
20140118:1700;85,65
20140118:1800;88,85
20140118:1900;92,25
20140118:2000;92,2
20140118:2100;95,7
20140118:2200;92,2
20140118:2300;92,2
20140119:0000;95,7
20140119:0100;95,7
20140119:0200;95,7
20140119:0300;95,7
20140119:0400;95,7
20140119:0500;95,7
20140119:0600;99,4
20140119:0700;95,7
20140119:0800;95,7
20140119:0900;95,7
20140119:1000;95,7
20140119:1100;92,2
20140119:1200;88,85
20140119:1300;76,5
20140119:1400;71,05
20140119:1500;61,2
20140119:1600;61,1
20140119:1700;65,75
20140119:1800;68,1
20140119:1900;68
20140119:2000;67,9
20140119:2100;67,8
20140119:2200;67,7
20140119:2300;67,6
20140120:0000;67,6
20140120:0100;73
20140120:0200;73
20140120:0300;75,85
20140120:0400;78,9
20140120:0500;78,9
20140120:0600;78,9
20140120:0700;78,95
20140120:0800;78,95
20140120:0900;76,1
20140120:1000;70,7
20140120:1100;65,75
20140120:1200;54,65
20140120:1300;47,05
20140120:1400;45,25
20140120:1500;45,25
20140120:1600;47,05
20140120:1700;54,65
20140120:1800;61
20140120:1900;73,65
20140120:2000;76,4
20140120:2100;82,3
20140120:2200;82,25
20140120:2300;85,4
20140121:0000;88,65
20140121:0100;88,6
20140121:0200;92,05
20140121:0300;95,65
20140121:0400;95,6
20140121:0500;95,6
20140121:0600;95,6
20140121:0700;99,4
20140121:0800;99,4
20140121:0900;95,65
20140121:1000;85,5
20140121:1100;82,5
20140121:1200;71,15
20140121:1300;68,7
20140121:1400;63,8
